link,title,source,date,text
https://www.cnbc.com/2018/07/06/starbucks-to-ditch-single-use-plastic-straws-by-2020.html,Starbucks to ditch single-use plastic straws by 2020,https://www.cnbc.com,7/6/18,"Come 2020, you won't be sipping your Starbucks iced coffee with a straw.

The coffee giant announced Monday that it would eliminate single-use plastic straws from all of its cafes globally within the next two years. Instead, Starbucks will offer recyclable strawless lids and alternative-material straws, like paper or compostable plastic.

The company already uses plastic lids nationally for some of its drinks like nitro cold brew and any beverages topped with cold foam.

Starbucks said customers in Seattle and Vancouver will be the first to see these changes roll out in the fall.

On July 1, Seattle became the first U.S. city to ban plastic straws, utensils and cocktail picks. Next year, a ban on plastic straws and stirrers will go into effect in the United Kingdom and Ireland."
https://e360.yale.edu/digest/starbucks-joins-the-growing-movement-to-ban-plastic-straws,Starbucks Joins the Growing Movement to Ban Plastic Straws,https://e360.yale.edu,7/9/18,"Global coffeehouse chain Starbucks announced it will phase out plastic straws at its 28,000 locations by 2020, using recyclable strawless lids or straws made from alternative materials, like paper, Reuters reported. The announcement marks a significant victory for environmental groups that have urged cities and companies to ban single-use plastics.

“For our partners and customers, this is a significant milestone to achieve our global aspiration of sustainable coffee, served to our customers in more sustainable ways,” Starbucks Chief Executive Kevin Johnson said in a statement.

Starbucks’ decision comes just one week after Seattle’s ban on plastic straws and utensils at “all food service businesses, including restaurants, grocery stores, delis, coffee shops, food trucks, and institutional cafeterias,” took effect. New York City and San Francisco are said to be considering similar bans. A ban on plastic packaging — including bags, Styrofoam, takeout containers, and utensils — in the Indian state of Maharashtra also took effect last month. And McDonald’s announced last month that it would stop using plastic straws at its locations in the United Kingdom, which approved a single-use plastic ban in April, and Ireland by the end of 2019. The restaurant chain also said it would test the straw policy in a half-dozen other countries, including the United States, in the coming years.

An estimated 8 million tons of plastic waste ends up in the world’s oceans annually, according to the U.N. Environment Program. About 63 billion straws were used in the U.S. in 2017, equal to around 170 to 175 million straws per day, according to Reuters.

Starbucks said it will start using strawless lids in its Seattle and Vancouver locations this fall, with plans to expand their usage to all U.S. and Canadian restaurants next year. The phase-out of plastic straws will then move to Europe and other locations."
https://www.washingtonpost.com/news/business/wp/2018/07/09/starbucks-will-stop-handing-out-plastic-straws-by-2020/,Starbucks will stop handing out plastic straws by 2020,https://www.washingtonpost.com,7/9/18,"Starbucks, which doles out more than 1 billion straws a year, says it will phase out single-use plastic straws from its stores by 2020. The coffee giant – the largest retailer to commit to eliminating single-use plastic straws – said Monday that it will replace the ubiquitous plastic straw with recyclable “strawless lids,” as well as straws made from biodegradable materials, as part of a no-plastic-straws movement that has gained momentum in recent years.

Starbucks — which has more than 28,000 stores and generated $22.4 billion in annual revenue last year — said that more than half of its beverage sales come from cold drinks, which typically come with a plastic straw.

At Starbucks, executives said the efforts are part of a $10 million plan to develop cups and lids that are fully recyclable and compostable. Stores in Seattle and Vancouver will be the first to begin using the new strawless lids — essentially a top with a built-in lip for easy drinking — which will be used for iced coffee, tea and espresso drinks beginning in the fall. Ice-blended Frappuccinos, meanwhile, will be served with straws made of paper or compostable plastic.

Advertisement

The company also offers a 10-cent discount to customers who bring in their own cups.

Starbucks declined to comment on the financial impact of replacing plastic straws, which have become widely used in restaurants in part because they are so cheap. (Starbucks now charges a 5-pence paper cup fee in its U.K. stores, though it was unclear whether the company would add similar surcharges in the United States.)

The no-straw movement, which had already been brewing in certain communities and beach towns, gained mainstream traction three years ago after a video showing a sea turtle with a plastic straw wedged in its nose went viral. Plastic straws never completely decompose and can be harmful, even fatal, to animals that ingest them.

A number of local governments — from Malibu, Calif., to Miami Beach, Florida — have recently passed legislation restricting the use and distribution of plastic straws. Starbucks’s hometown of Seattle banned plastic straws and utensils beginning this month, while California cities including Malibu, Davis and San Luis Obispo prohibit restaurants from handing out plastic straws unless a customer requests one.

Advertisement

Restaurants and private establishments have also taken measures to curb their use of plastic straws. Some offer more environmentally friendly alternatives, such as straws made of paper, bamboo, steel, even Twizzlers. Walt Disney World has banned plastic straws at some of its theme parks, while the Smithsonian Institution has taken steps to eliminate them from its museums. Hyatt Hotels said Monday it will stop offering plastic straws and picks to customers at its 700 hotels, unless they specifically ask for one.

“This is a significant milestone to achieve our global aspiration of sustainable coffee, served to our customers in more sustainable ways,” Kevin Johnson, president and chief executive of Starbucks, said in a statement.

Plastic straws typically cost less than a half-cent each, while paper varieties can easily run four times that, according to Kara Woodring, a sales representative at Aardvark, a Colo.-based paper straw manufacturer. But, she said, demand for alternatives to plastic have been on the upswing for over a decade. Ted’s Montana Grill, the restaurant chain founded by media mogul Ted Turner, was one of the earliest to switch to paper straws back in 2007.

Advertisement

“Straws are kind of an unnecessary item we’ve gotten accustomed to,” Woodring said earlier this year. “If you can go without, that’s great.”

The announcement by Starbucks comes four weeks after McDonald’s announced it would replace plastic straws with paper ones at its 1,300 restaurants in the U.K., where plastic straws and stirrers will be banned beginning next year, and Ireland. The fast-food giant, which is the world’s largest restaurant chain by revenue, is also testing alternatives in the United States and now offers compostable straws in Seattle.

Share this article Share"
https://www.teenvogue.com/story/starbucks-to-ban-single-use-plastic-straws-2020,Starbucks Announces Plans to Ban Single-Use Plastic Straws by 2020,https://www.teenvogue.com,7/9/18,"Starbucks is jumping on the strawless bandwagon. On Monday, the coffee giant became the latest company to denounce single-use plastic straws, revealing plans to ban them entirely from its stores worldwide by 2020. Instead, Starbucks announced in a press release, it will start using ""strawless lids"" and straws made from ""alternative materials,"" such as paper or ""compostable plastic."" According to the press release, these straws will be available by request.

As for the ""strawless lids,"" Starbucks is already using them in about 8,000 select stores around North America. These currently come with drinks like the Starbucks Draft Nitro and Cold Foam, and will come with the Salted Cream Cold Foam Cold Brew to be released on Tuesday. They essentially look like sippy cup lids — regular plastic lids with a raised and slanted mouthpiece for customers to drink from.

Starbucks joins companies, cities, and countries around the world that have banned plastic straws. As Fast Company reported, plastic straws have been banned or are planned to be banned by Alaska Airlines and McDonald's U.K., as well as in Vancouver, the U.K., Taiwan, Seattle, Miami Beach, and in California cities such as Oakland and Berkeley, to name a few.

But while such policies are intended to reduce plastic pollution in the ocean, as Pacific Standard reported, they've been questioned for their effectiveness and criticized for being ableist. As BBC News reported in February, a Scotland-based disability group called One in Five says paper, plant-based, and metal straws aren't adequate substitutes for single-use plastic straws and could even be dangerous for people, depending on their disability.

""As you may be aware most paper and plant-based alternatives are not flexible or suitable for drinks over 40C, therefore increases the risks of choking,"" One in Five wrote in a letter, according to BBC News. ""Metal straws can be dangerous for people with neurological conditions such as Parkinson's whereas reusable plastic straws present hygiene concerns to people with specific health conditions.""

Starbucks says that customers in Seattle and Vancouver will be the first to go strawless beginning this fall, with more markets to follow."
https://www.cnet.com/culture/internet/starbucks-will-ditch-plastic-straws-for-fancy-designer-lids/,Starbucks is banning plastic straws by 2020 for a good reason,https://www.cnet.com,7/9/18,"With the plastic-filled Great Pacific Garbage Patch growing like a monster and everyone from Seattle to the EU looking into or outright banning single-use plastics, global coffee company Starbucks saw the future. And it is plastic-strawless.

Starbucks announced on Monday it will phase out plastic straws at over 28,000 company operated and licensed shops by 2020.

But you won't have to apply your lips directly to the side of a cup. Starbucks will instead offer a new strawless lid or straws made from plastic alternatives to fulfill your drinking desires.

Starbucks expects the change to eliminate over a billion plastic straws each year. The strawless lid is a big part of the coffee chain's plans. It looks like a modified version of the sippy cups that are popular drinking utensils for toddlers. The lid is already available for certain cold drinks in 8,000 US Starbucks stores.

A research and development team at Starbucks headed up by engineer Emily Alexander started work on the new lid in 2016. The company describes the final design as featuring ""a teardrop-shaped opening about the size of a thumbprint."" It took 10 weeks of experimentation and testing to arrive at that point.

The new lids are still made from plastic, but from a type that is recyclable in many locations. ""By nature, the straw isn't recyclable and the lid is, so we feel this decision is more sustainable and more socially responsible,"" said Starbucks director of packaging sourcing Chris Milne.

The elimination of plastic straws is one phase of a larger sustainability plan. Starbucks is also working on developing a fully recyclable and compostable hot cup.

Frappuccino fans don't have to worry about trying to suck the slushy beverage through a sippy cup hole. Starbucks will offer straws made from paper or compostable plastic made from fermented plant starch for the popular icy drinks.

Rebooting the Reef: CNET dives deep into how tech can help save Australia's Great Barrier Reef.

CES 2018: CNET's complete coverage of tech's biggest show."
https://www.usatoday.com/story/opinion/2018/07/09/starbucks-moves-plastic-straws-sippy-cups-talker/767740002/,Today's talker: Starbucks hopes to #StopSucking by moving away from plastic straws ... to sippy cups,https://www.usatoday.com,7/9/18,"USA TODAY

Coffee giant Starbucks plans to eliminate plastic straws globally by 2020, joining the Chicago White Sox, food service provider Bon Appétit Management Company, Alaska Airlines and the city of Seattle. Likewise, notables such as Chelsea Clinton and Tom Brady have also pledged to refuse plastic straws when handed to them, adding fuel to the social media trend #StopSucking.

The war on single-use plastics is just starting

Starbucks' welcomed announcement comes on the heels of similar pledges by countries, cities and corporations around the world — most with less cachet than Starbucks, but equally important. For example, India’s heavily plastic-polluted state of Maharashtra recently announced a ban on all single-use plastics, and Costa Rica wants do the same by 2021. Meanwhile, McDonalds, which isn’t much bigger in terms of annual revenue, but gives away exponentially more straws per day (95 million estimated straws per day) versus Starbucks (approximately 3 million per day), is still dragging its giant feet, but says it is studying alternatives. And with enough public pressure, convenience stores like 7-Eleven will find alternative ways to consume their ""Big Gulps.""

More:Talker: Donald Trump's top picks for Supreme Court should know that politics belong in the legislature, not on the bench

With companies and governments jumping on the bandwagon and banning various forms of single-use plastics, one would expect that the handwriting is on the wall for straws and other forms of single-use plastics as a whole. Unfortunately, that is not the case. In 2015, China opened one of the largest plastic straw manufacturing plants in the world in Allentown, Pa., churning out hundreds of millions of plastic straws each year, and claiming they make enough each year to circle the globe one and a half times. Likewise, Tetra Pak, which has produced up to 4 billion plastic straws each year, has gone on the offensive, hiring lobbyists to stop the plastic straw ban although it maybe hedging its bets as it also recently announced it will develop paper alternatives for some products. And unfortunately, Amazon and other global retailers are ramping up a fight against India’s plastic ban.

While straw wars are just beginning to have an impact, the real answers lie in entrepreneurism and consumer education. Somebody will make a lot of money inventing an alternative to plastic straws and consumers will have to find the alternative palatable. But in the end people and our planet will be the big winners — although at time of writing this, Starbucks stock was up.

Kathleen Rogers is the president of Earth Day Network. Earth Day Network is running a global End Plastic Pollution campaign called #EndPlasticPollution.

What our readers are saying

What a crock. Straws are not what is clogging up landfills and our oceans. You want to ban something, try banning what's really filling them up. There are so many other things that we should look in to besides plastic straws, like disposable diapers for example.

Also, there is nothing worse than a paper straw for a drink.

— Andrew Goetz

Coal, oil and natural gas are not evil. And neither is plastic, which is made from natural resources. Like every other man-made product, it's the human consumer who dictates its impact on our environment and not the product itself.

— Stephen LaBarre

More:Talker: Melania Trump is making money as first lady ... bless her heart

Paper straws are awful. In the grand scheme of waste this does nothing. All these years later, after recycling campaigns, and people still don't recycle.

— Mark West

Regardless of who started the plastic pollution problem or who is the biggest polluter, everyone (and all countries of the world) needs to work together to solve this problem.

— Mari Hein Beegle

What others are saying

Radhika Viswanathan, Vox: ""Several environmental organizations have made straw bans a priority lately — raising awareness, nudging celebrities to come out in favor of them, lobbying cities and states to enact them. But some advocates told me their deeper motivation is to build support and awareness for the need to ban other plastic products that are more significant sources of plastic solution than straws. 'Our straw campaign is not really about straws,' said Dune Ives, the executive director of Lonely Whale, the organization that led the straw ban movement in Seattle.""

David Mastio, USA TODAY: ""Before Americans get too worked up about this latest blight on the reputation of plastics, there are a few facts about those vast piles of plastic floating in the ocean that you might not have heard: They aren’t made of plastic bags and straws; they’re mostly made of abandoned fishing equipment. A second big contributor wasn’t man throwing things away, but a tsunami striking Japan and sweeping all kinds of things out to sea. While thousands of tons of the plastic floating out there were thrown away, they weren’t thrown away here. Asia is home to five out of the five biggest plastic polluters. Oh, and banning things such as single-use plastic bags and straws isn’t among the best solutions to stopping the pollution of our oceans, but setting vast amounts of waste plastic on fire is. Seriously.""

To join the conversations about topics on USA TODAY, email letters@usatoday.com, comment on Facebook, or use #tellusatoday on Twitter."
https://www.esquire.com/food-drink/drinks/a22091470/starbucks-bans-straws-for-environment/,Starbucks Is Banning Plastic Straws to Save the Planet,https://www.esquire.com,7/9/18,"Starbucks is doing the right thing and getting rid of plastic straws.

The company announced Monday that by 2020, every single plastic straw will be phased out of use at Starbucks stores around the globe. The effort, which starts this fall in Seattle and Vancouver and spreads from there, is expected to keep 1 billion Starbucks-green straws out of the Earth's garbage dumps and oceans each year.

To replace straws, Starbucks will serve cold drinks in cups with special lids—dubbed ""adult sippy cups"" by the Internet—which it introduced back in 2016. These lids can be recycled, unlike the straws. And for all those Starbucks addicts who still demand a straw to suck down their icy frapps, baristas will have paper and compostable plastic straws on hand. (Compostable plastic straws are not marine biodegradable.)

Getting rid of plastic straws will not save our oceans, environmentalists warn. But it will cut down on plastic pollution that kills marine life, and trash waste in general. Even more importantly, it's one of the easiest uses of plastic for us to give up, and once we do, we might want to rid more plastic from our lives. Call it a ""gateway plastic.""

In other environmentally friendly news, Starbucks' hometown Seattle just kicked off a city-wide ban on plastic straws, making it the first major U.S. city to do so. If this trend spreads (and hopefully, it will), we'll be drinking our iced coffees and diet pop with a little less guilt."
https://www.theguardian.com/business/2018/jul/09/starbucks-eliminate-plastic-straws-globally-2020,Starbucks to ditch plastic straws globally by 2020 to help environment,https://www.theguardian.com,7/9/18,"Starbucks will eliminate plastic straws from its stores globally by 2020, in a nod to the growing push for businesses to be more environmentally friendly.

The Seattle-based company said on Monday it will instead use straws made from other materials, and lids designed not to need straws.

McDonald’s also recently said it would switch to paper straws in the UK and Ireland by next year, and test alternatives to plastic straws in some US locations. In February, Dunkin’ Donuts said that it would eliminate polystyrene foam cups from its stores by 2020.

Sign up to receive the top US stories every morning

Environmental activists have been pressuring businesses to ditch plastic straws because they can end up in the ocean and hurt marine life. The push gained traction after a viral video in 2015 showed rescuers removing a straw from a sea turtle’s nose in graphic detail.

Local governments have also been looking at the issue. Last week, Seattle’s ban on single-use plastic straws and utensils in food service outlets took effect, and Starbucks says it already offers alternative straws there. Similar proposals are being considered elsewhere, including New York and San Francisco.

While straws have become a high-profile issue, they make up only about 4% of the plastic trash by number of pieces, and far less by weight. Straws add up to only about 2,000 tons of the nearly 9m tons of plastic waste that hits waters each year.

Still, those who support limiting plastic straws say they are generally unnecessary and a ban is good symbol.

The strawless lids will begin to appear in Seattle and Vancouver Starbucks this fall, with phased rollouts within the US and Canada to follow next year.

A global rollout of the strawless lids will follow, beginning in Europe where they will be used in selected stores in France and the Netherlands, as well as in the United Kingdom."
https://www.earth.com/news/starbucks-plastic-straws/,Starbucks to phase out plastic straws worldwide by 2020,https://www.earth.com,7/9/18,"Starbucks announced on Monday that they will be phasing out their single-use plastic straws worldwide by 2020. This move comes at a time when scientists are calling our plastic pollution problem a “global crisis” and advocacy groups are warning that plastic poses one of the greatest threats to our oceans.

Phasing out the plastic straw could have huge positive impacts. Starbucks gives out an estimated 1 billion straws a year. By 2020, the coffee chain will replace their straws with a recyclable straw-less lid, made from biodegradable materials.

In a press release, Starbucks said “Starbucks has designed, developed and manufactured a strawless lid, which will become the standard for all iced coffee, tea and espresso beverages. The lid is currently available in more than 8,000 stores in the U.S. and Canada for select beverages including Starbucks Draft Nitro and Cold Foam.”

Customers who need straws for medical and other reasons can still help protect our oceans. Starbucks will start providing straws made from more sustainable sources such as paper and compostable plastic by request.

Currently, Starbucks is the largest food and beverage retailer to phase out plastic straws worldwide. Plastic straws are far from the only plastic destroying our oceans, but their impacts are certainly severe.

A 2015 video of a sea turtle with a straw stuck up its nostril quickly went viral with over 30 million views to date. The difficult-to-watch video shows a person trying to dislodge a straw from the turtle’s nostril as the turtle struggles.

When plastic is polluted into our waterways, it stays in the environment forever. The United States National Park Service says, “Once in the water, plastic never fully biodegrades, but breaks down into smaller and smaller pieces, eventually being dubbed a ‘microplastic’ —something that is less than 5mm long and still able to cause problems for marine life.”

Plastic, whether in large or small pieces, can wreak havoc on marine animals by choking them, entangling them and entering their stomachs, potentially causing them to starve to death.

A pivotal study in 2015, published in Science, found that 4.8 to 12.7 metric tons of plastic waste entered our oceans in 2010 alone.

Starbucks policy change is much needed but not enough on its own. While addressing plastic straws is a great start, our society is now addicted to plastic. Single-use plastic can be found everywhere: from our utensils to our bags and water bottles.

Policy changes surrounding plastic are also occurring at the local government level. The city of Seattle recently became the first US city to ban plastic utensils and straws. The ban affects bars and restaurants in the city and went into effect last week.

“Plastic pollution is surpassing crisis levels in the world’s oceans, and I’m proud Seattle is leading the way and setting an example for the nation by enacting a plastic straw ban,” Seattle Public Utilities General Manager Mami Hara said in a statement about the ban.

Starbucks and Seattle have both set good examples for how we should be handling the plastic pollution crisis. Actions from both corporations and governments will help to most efficiently protect our oceans.

—

By Brianna Lynne, Earth.com Contributing Writer"
https://www.vox.com/2018/7/9/17548206/starbucks-hops-on-the-bandwagon-and-eliminates-plastic-straws,Starbucks hops on the bandwagon and eliminates plastic straws,https://www.vox.com,7/9/18,"Starbucks says it will eliminate all plastic straws from its 28,000 stores around the world by 2020, citing the threats they pose to oceans. The coffee chain said on Monday that it has invented “strawless lids” and “alternative-material straws” that will save an estimated 1 billion plastic straws from being thrown out from its stores each year.

This type of lid that does not require the use of a straw is currently found in 8,000 stores across North America and its availability has been expanded to east Asian countries. A global rollout of the eco-friendly products will come later in the year.

“For our partners and customers, this is a significant milestone to achieve our global aspiration of sustainable coffee, served to our customers in more sustainable ways,” Starbucks CEO and President Kevin Johnson said.

Nicholas Mallos, director of Ocean Conservancy’s Trash Free Seas program, commended the move as a “a shining example of the important role that companies can play in stemming the tide of ocean plastic.”

Starbucks promotes its ethical and eco-friendly practices and cites its “long history in sustainability.”

The company, which buys 5 percent of the global supply of Arabica beans, announced in 2015 that it “ethically sourced” 99 percent of its coffee. The coffee purveyor has enacted other policies to reduce its environmental impact and appeal to younger, socially conscious consumers. This includes its decision to charge extra money for paper cups in London — a practice which will expand across the UK later this year.

The movement for a plastic-free sip

The plastic straw ban is having a moment, and Starbucks is by no means the first to hop on the bandwagon. The organization was born and bred in the city of Seattle. The mayor there announced a limited ban on disposable plastics — straws and cutlery — that went into effect on July 1.

New York has also proposed legislation to ban plastic straws in the city by 2020, and Malibu, California; Miami Beach; and Fort Myers, Florida; and other cities have similar efforts in the works. Vox’s Radhika Viswanathan explained the movement to ban plastic straws:

But Starbucks, one of the largest buyers of disposable plastic straws in the US, is a significant new participant in this plastic-free drive. And this could be just the beginning of something larger. While straws aren’t the biggest plastic monster to defeat, activists believe that eliminating the worldwide use of disposable straws could kick off a wider conversation about plastic use in general.

Viswanathan continued:

“Our straw campaign is not really about straws,” said Dune Ives, the executive director of Lonely Whale, the organization that led the straw ban movement in Seattle. “It’s about pointing out how prevalent single-use plastics are in our lives. Putting up a mirror to hold us accountable. We’ve all been asleep at the wheel.”

The focus on eliminating disposable plastics comes at a time when threats to the environment are immense. Studies have found that about 71 percent of seabirds and 30 percent of turtles have some form of plastic in their stomachs. Marine creatures have a 50 percent mortality rate when they ingest any form of plastic.

Starbucks is at the forefront of a movement that will work to cull contributions to the 8 million metric tons of plastic already in the ocean. And while banning straws is only the beginning, it’s at least a start."
