date,sentiment_score
2018-07-06,0.7003
2018-07-09,0.5859
2018-07-09,0.7906
2018-07-09,0.9694
2018-07-09,0.891
2018-07-09,0.9766
2018-07-09,0.4588
2018-07-09,0.91
2018-07-09,0.9643
2018-07-09,0.7269
2018-07-09,-0.3182
2018-07-09,0.9545
2018-07-09,0.6908
2018-07-09,0.6315
2018-07-09,0.9657
2018-07-09,0.6814
2018-07-09,0.7096
2018-07-09,0.9337
2018-07-09,0.9818
2018-07-09,0.9652
2018-07-09,0.3818
2018-07-09,0.9194
2018-07-09,-0.7351
2018-07-09,0.9818
2018-07-09,-0.3544
2018-07-09,0.2263
2018-07-09,0.8316
2018-07-09,-0.2023
2018-07-09,0.0516
2018-07-09,-0.8979
2018-07-09,0.9382
2018-07-09,0.9929
2018-07-09,0.7906
2018-07-09,0.9274
2018-07-09,0.1531
2018-07-09,0.7906
2018-07-09,0.8393
2018-07-10,0.9334
2018-07-10,-0.1027
2018-07-10,0.7003
2018-07-10,0.9729
2018-07-10,0.9652
2018-07-10,0.9836
2018-07-10,0.9869
2018-07-10,0.4337
2018-07-10,0.9186
2018-07-10,0.128
2018-07-11,-0.9523
2018-07-11,0.9762
2018-07-11,0.9501
2018-07-11,0.992
2018-07-11,-0.1779
2018-07-11,0.6088
2018-07-11,-0.5411
2018-07-11,0.9612
2018-07-11,0.0
2018-07-11,0.8047
2018-07-12,0.9818
2018-07-12,-0.795
2018-07-12,0.9983
2018-07-12,0.6067
2018-07-12,0.9393
2018-07-13,0.7184
2018-07-13,0.833
2018-07-15,0.9844
2018-07-16,-0.8883
2018-07-16,0.2453
2018-07-17,0.8625
2018-07-17,0.8826
2018-07-17,0.9724
2018-07-18,0.733
2018-07-18,0.9477
2018-07-18,0.872
2018-07-18,0.9624
2018-07-18,0.705
2018-07-19,0.2086
2018-07-19,0.0516
2018-07-23,0.9501
2018-07-24,0.7604
2018-07-25,0.943
2018-07-25,-0.9517
2018-07-25,0.9397
2018-07-26,0.9083
2018-07-26,0.926
2018-07-27,0.0
